_class_name,_created_at,_object_id,_updated_at,airportLocation,airportName,iata,icao
Airport,2013-04-02T15:09:55.769Z,q5D8ZKjsgU,2013-04-02T15:09:55.769Z,"Changsha, Hunan",Changsha Datuopu Air Base,,ZGCS
Airport,2013-04-02T15:09:55.790Z,ZJTnekZVbQ,2013-04-02T15:09:55.790Z,"Zhangjiajie (Dayong), Hunan",Zhangjiajie Hehua Airport,DYG,ZGDY
Airport,2013-04-02T15:09:55.804Z,Mpt5AK0pPv,2013-04-02T15:09:55.804Z,"Foshan, Guangdong",Foshan Shadi Airport,FUO,ZGFS
Airport,2013-04-02T15:09:55.819Z,Lw3cWrw6CN,2013-04-02T15:09:55.819Z,"Guangzhou, Guangdong",Guangzhou Baiyun International Airport,CAN,ZGGG
Airport,2013-04-02T15:09:55.834Z,LHD48cGBoG,2013-04-02T15:09:55.834Z,"Changsha, Hunan",Changsha Huanghua International Airport,CSX,ZGHA
Airport,2013-04-02T15:09:55.849Z,yzJ3xiRLs6,2013-04-02T15:09:55.849Z,"Hengyang, Hunan",Hengyang Bajialing Airport,HNY,ZGHY
Airport,2013-04-02T15:09:55.864Z,y5aorJanVf,2013-04-02T15:09:55.864Z,"Huizhou, Guangdong",Huizhou Airport,HUZ,ZGHZ
Airport,2013-04-02T15:09:55.878Z,bc92PMH3cp,2013-04-02T15:09:55.878Z,"Guilin, Guangxi",Guilin Liangjiang International Airport,KWL,ZGKL
Airport,2013-04-02T15:09:55.897Z,zijSNTOxJE,2013-04-02T15:09:55.897Z,"Yongzhou, Hunan",Yongzhou Lingling Airport,LLF,ZGLG
Airport,2013-04-02T15:09:55.912Z,D1r8GWbdoj,2013-04-02T15:09:55.912Z,"Meizhou, Guangdong",Meixian Airport,MXZ,ZGMX
Airport,2013-04-02T15:09:55.926Z,Mm3NJVumvI,2013-04-02T15:09:55.926Z,"Nanning, Guangxi",Nanning Wuxu International Airport,NNG,ZGNN
Airport,2013-04-02T15:09:55.941Z,1kcnXLhPvZ,2013-04-02T15:09:55.941Z,"Jieyang/Shantou, Guangdong",Jieyang Chaoshan Airport,SWA,ZGOW
Airport,2013-04-02T15:09:55.956Z,EeiTczic2T,2013-04-02T15:09:55.956Z,"Zhuhai, Guangdong",Zhuhai Jinwan Airport,ZUH,ZGSD
Airport,2013-04-02T15:09:55.972Z,I4EEK9iJvP,2013-04-02T15:09:55.972Z,"Shenzhen, Guangdong",Shenzhen Bao'an International Airport,SZX,ZGSZ
Airport,2013-04-02T15:09:55.986Z,cZUynSgwTY,2013-04-02T15:09:55.986Z,"Wuzhou, Guangxi",Wuzhou Changzhoudao Airport,WUZ,ZGWZ
Airport,2013-04-02T15:09:56.002Z,HMJ60Li3s6,2013-04-02T15:09:56.002Z,"Liuzhou, Guangxi",Liuzhou Bailian Airport,LZH,ZGZH
Airport,2013-04-02T15:09:56.017Z,8GTWFJNSxq,2013-04-02T15:09:56.017Z,"Zhanjiang, Guangdong",Zhanjiang Airport,ZHA,ZGZJ
Airport,2013-04-02T15:09:56.032Z,qfGYJF3V6L,2013-04-02T15:09:56.032Z,"Anyang, Henan",Anyang Airport,AYN,ZHAY
Airport,2013-04-02T15:09:56.046Z,NhdzbUw6Cg,2013-04-02T15:09:56.046Z,"Zhengzhou, Henan",Zhengzhou Xinzheng International Airport,CGO,ZHCC
Airport,2013-04-02T15:09:56.061Z,JsjPrdMZ7T,2013-04-02T15:09:56.061Z,"Enshi, Hubei",Enshi Xujiaping Airport,ENH,ZHES
Airport,2013-04-02T15:09:56.075Z,Qb7qMg51Ko,2013-04-02T15:09:56.075Z,"Wuhan, Hubei",Wuhan Tianhe Airport,WUH,ZHHH
Airport,2013-09-10T15:34:16.261Z,OT78ejdy7M,2013-09-10T15:34:39.598Z,Aachen,Aachen-Merzbruck,,EDKA
Airport,2013-04-02T15:09:56.090Z,hrBN8n9SnM,2013-04-02T15:09:56.090Z,"Luoyang, Henan",Luoyang Beijiao Airport,LYA,ZHLY
Airport,2013-04-02T15:09:56.112Z,ZQo7VRQP1E,2013-04-02T15:09:56.112Z,"Nanyang, Henan",Nanyang Jiangying Airport,NNY,ZHNY
Airport,2013-04-02T15:09:56.127Z,oCRRP6x3j1,2013-04-02T15:09:56.127Z,"Jingzhou, Hubei",Shashi Airport,SHS,ZHSS
Airport,2013-04-02T15:09:56.142Z,ADSWsD4LbJ,2013-04-02T15:09:56.142Z,"Xiangyang, Hubei",Xiangyang Liuji Airport,XFN,ZHXF
